No,チャンネル,グループ,設立趣意,主な目的,ターゲット,運用方針,トーン,頻度/週,言語,主プラットフォーム,担当,ケン確認
1,Ueoka Kensuke,A 思想,内なる武士道を生きる男の記録,ケン個人の信用形成・思想発信・ファン化,ケンを知る人/経営者/思想に共感する層,静かで深い投稿。修行・感謝・中今・人生の気づき,静謐・誠実・内省的,3〜5,日,IG/TikTok/YouTube,ケン,◎必須
2,BUSHIDO TRAINING,A/B 思想・インバウンド,武士道を身体で体験する入口,BUSHIDO JAPANへの集客導線,外国人観光客/武道・日本文化に関心ある層,一本歯下駄・和装・鍛錬・外国人リアクションを短尺動画化,力強い・かっこいい・体験的,3〜5,日英,TikTok/IG/YouTube Shorts,スタッフ,◎重要
3,P.Kensuke,C 物販,植物を通じた自然・美・生命力の発信,ビカクシダ販売・タイ農園ツアー導線,植物愛好家/ビカクシダ購入検討層,育成記録・株紹介・植物の美しさ・タイとのつながり,美しい・癒し・専門的,3〜5,日,IG/TikTok,スタッフ,○任意
4,LinkedIn 海外向け,A/B 思想・インバウンド,BUSHIDO JAPANの国際的信用形成,海外企業・旅行会社・富裕層・行政との提携,海外企業/旅行会社/富裕層/行政関係者,英語中心。事業構想・実績・文化体験・地域創生を丁寧に,ビジネス寄り・誠実,3,英,LinkedIn,ケン,◎必須
5,テスラレンタカージャパン,C 物販,事故代車・法人利用に特化した認知獲得,保険会社・修理工場・法人予約の獲得,保険会社/修理工場/法人/愛知・名古屋圏,テスラ代車が必要な時に思い出される投稿を継続,実用的・信頼感,3〜5,日,IG/TikTok,スタッフ,○任意
6,realjapan.vibes,A/B 思想・インバウンド,日本の精神性を音楽と映像で世界へ,海外向けBUSHIDO JAPAN導線,海外の日本文化・瞑想・禅に関心ある層,和の瞑想音楽・禅・感謝・浄化・静けさを英語で,静寂・神秘的・瞑想的,3,英,YouTube/TikTok/IG,スタッフ,◎重要
7,kyounomiyako_toyoake,E 福祉,グループホームの日常を通じた共生社会の発信,京の都の信頼形成・入居相談・職員採用,利用検討者の家族/求職者/地域住民,世話人の日常・食事・会話・安心感・あたたかさ,あたたかい・やさしい・安心,3,日,IG/TikTok,スタッフ,◎必須(個人情報)
8,bushido_international_program,B インバウンド・教育,若者に武士道精神と国際交流の機会を,青少年育成・国際教育プログラムの認知,中高生/保護者/教育関係者,教育・国際交流・礼・感謝・文化体験をわかりやすく,教育的・前向き・誠実,3,日英,IG/YouTube,スタッフ,○任意
9,unaginobori_kensuke,C 物販,鰻を通じて日本の食文化と福祉連携を広げる,鰻通販・名古屋土産・蒲焼体験の販売,贈答需要層/名古屋土産を探す人/グルメ層,商品紹介・食べ方・贈答・体験・障がい者雇用ストーリー,美味しそう・あたたか・誠実,3〜5,日,IG/TikTok,スタッフ,○任意
10,bsl_himorikouen,D 店舗,地域に愛される清潔なランドリー店舗づくり,店舗認知・来店促進・Google口コミ導線,日守公園周辺の地域住民,店舗の清潔感・使い方・布団洗い・地域密着,清潔感・親しみ・地域密着,2〜3,日,IG/Googleビジネス,スタッフ,△任せる
11,bsl_imure,D 店舗,地域生活を支えるランドリーの認知向上,来店促進・常連化,伊牟礼周辺の地域住民,店舗案内・季節需要・洗濯豆知識,清潔感・親しみ・地域密着,2〜3,日,IG/Googleビジネス,スタッフ,△任せる
12,bsl_uenodai,D 店舗,日常の洗濯ストレスを減らす店舗発信,来店促進・店舗の安心感づくり,上野台周辺の地域住民,清掃・乾燥機・雨の日需要・便利な使い方,清潔感・親しみ・地域密着,2〜3,日,IG/Googleビジネス,スタッフ,△任せる
13,coinlaundry_ekushia,D 店舗,コインランドリー×植物の癒し空間づくり,店舗集客・植物販売・地域認知,エクシア周辺住民/植物好き,ランドリー情報＋チランジア・観葉植物の魅力,清潔感・癒し・地域密着,2〜3,日,IG/Googleビジネス,スタッフ,△任せる
14,bsl_handa,D 店舗,半田エリアでの店舗認知拡大,来店促進・地域密着,半田エリアの地域住民,店舗紹介・洗濯ノウハウ・季節投稿,清潔感・親しみ・地域密着,2〜3,日,IG/Googleビジネス,スタッフ,△任せる
15,福祉サービス解説チャンネル,E 福祉,福祉サービス初心者の不安を減らす案内所,利用相談・空き待ちリスト獲得,福祉サービス初心者/不安を抱える家族,共同生活援助・B型・受給者証・生活保護をやさしく解説,やさしい・わかりやすい・寄り添い,3,日,YouTube/IG/TikTok,スタッフ,◎必須(正確性)
16,ユーワード伴走支援チャンネル,E 福祉,ユーワード初心者の不安を減らし活動を伴走,登録検討者・登録半年未満の人への教育・支援,登録検討者/登録半年未満の人,登録前の疑問・登録後の動き方・加盟店活動・説明会活用,案内所的・伴走・営業色控えめ,3,日,YouTube/IG,スタッフ,○任意
